Grapevine cultivar	Berry Number_2011	Berry Number_2012	Berry Number_2013	Berry Number_2015	Berry Number_2016	Berry Number_2017	Flower Number_2015	Flower Number_2016	Flower Number_2017	Fruitset_2015	Fruitset_2016	Fruitset_2017	Millerandage Index_2015	Millerandage Index_2016	Millerandage Index_2017	Coulure Index_2015	Coulure Index_2016	Coulure Index_2017	Seed Number_2011	Seed Number_2012	Seed Number_2013
ESP217_VIVC4192_5072	179.2	137	162.8	206.2	255.89	187.6	529.07	864	902.7	0.42	0.31	0.21	2.65	1.76	2.31	4.7	6.4	7.3	1.74	2.02	1.97
ESP217_VIVC17353_5073	NA	85.7	114.1	160	200.78	146.4	270.47	487.78	381.2	0.65	0.53	0.44	2.33	2.93	1.45	2.29	4.18	5.51	NA	1.49	1.32
ESP217_VIVC2771_5074	201.4	121.8	171.2	123.6	166.44	106.3	307.85	446.22	284.7	0.42	0.39	0.42	1.38	1.03	1.64	5.34	5.84	5.53	1.81	1.56	1.74
ESP217_VIVC4377_5076	NA	70.3	60.2	72.8	110.5	81.7	199.08	164	182.2	0.45	0.79	0.56	3.22	3.25	2.41	4.61	0.02	4.09	NA	1.59	1.26
ESP217_VIVC4419_5077	264.9	161.3	137.5	103.2	274.33	163.1	447.98	1061.44	837	0.28	0.27	0.2	2.73	0.78	0.54	6.83	7.2	7.94	1.25	1.75	1.27
ESP217_VIVC4470_5082	164.2	94.6	113.2	157.6	137.8	109.1	523.92	342.8	571.7	0.33	0.46	0.27	4.19	2.83	4.82	4.82	4.39	6.32	1.61	2.48	1.93
ESP217_VIVC17636_5083	NA	79.2	52.4	57.2	146.2	104.2	85.35	148.11	140.1	0.7	1.04	0.78	2.03	1.05	2.5	1.59	-1.13	0.08	NA	2.11	1.37
ESP217_VIVC2742_5084	146.1	152.9	210.56	182.8	436.7	334.2	284.73	402.7	370.7	0.64	1.09	0.9	0.11	0.04	0.02	3.51	-0.88	0.96	2.97	3.27	2.55
ESP217_VIVC4164_5087	98.6	79.7	63.6	102.6	145	117.67	264.41	256.2	241.22	0.39	0.57	0.49	0.72	0.05	0.15	5.82	4.31	5.05	1.97	2.54	2.09
ESP217_VIVC5582_5092	69.4	61.3	NA	NA	78.4	59.67	NA	302.4	225.1	NA	0.3	0.27	NA	1.99	0.99	NA	6.76	7.14	2.14	2.85	NA
ESP217_VIVC5627_5093	153.3	121.9	251.8	147.8	203.33	51.4	613.14	469.33	372	0.24	0.43	0.12	0.12	0.01	0.19	7.56	5.66	8.81	1.89	2.87	2.14
ESP217_VIVC255_5094	255.2	209.1	182.2	247.2	407.7	356.6	566.73	1041.6	868.1	0.44	0.4	0.42	1.23	0.92	0.5	5.02	5.69	5.68	2.01	2.07	2.24
ESP217_VIVC12353_5095	108.9	108.1	107.7	138.5	135.2	128.5	546.64	652.2	529.3	0.24	0.23	0.26	1.85	1.21	0.76	7.51	7.64	7.37	2.74	2.41	2.75
ESP217_VIVC6912_5098	201.4	165.3	285.88	165.25	253.5	213.4	156.13	371.9	263.4	0.85	0.69	0.81	0.36	0.26	0.11	1.21	3	1.81	3.15	3.8	2.21
ESP217_VIVC2889_5099	186.7	159.8	80.1	112	162	122.1	389.14	476.3	294.2	0.38	0.4	0.43	4.01	2.12	1.23	5.19	5.68	5.27	1.79	2.37	1.75
ESP217_VIVC157_5100	153.3	191.1	164.9	199	301.9	179.8	469.92	1233.3	686.75	0.43	0.27	0.25	2.05	1	0.8	4.67	7.28	7.32	2.29	2.46	2.42
ESP217_VIVC24858_5104	87.5	108.7	82.63	94.5	164.5	120.8	446.15	804.2	445.78	0.21	0.23	0.31	2.19	1.37	1.58	7.83	7.63	6.86	1.35	1.39	1.35
ESP217_VIVC8934_5106	183.2	105.1	224.1	185.2	204.4	216.25	389.33	254.3	423	0.48	0.81	0.5	0.24	0.13	0.59	5.12	1.86	4.71	2.23	1.79	1.79
